brand,type,miles,years,location,nowprice,preprice
阿斯顿・马丁DBX,2022款,0.02万公里,未上牌,厦门,252.50,206.02万
阿斯顿・马丁DBX,2023款,0.02万公里,未上牌,厦门,252.00,213.62万
宝马3系,2018款,5.1万公里,2018-01,上海,18.98,35.15万
宝马7系,2019款,2.9万公里,2020-05,海口,63.97,89.88万
奔驰GLA,2015款,4万公里,2015-11,金华,11.00,31.46万
奔驰GLA,2016款,6万公里,2016-01,金华,12.30,34.71万
奔驰G级,2016款,10.8万公里,2016-04,沈阳,119.80,184.31万
雷克萨斯RX,2020款,3.5万公里,2020-09,江门,37.00,47.98万
埃尔法,2012款,15万公里,2013-01,昆明,29.98,81.32万
Macan,2022款,0.09万公里,2022-09,哈尔滨,56.50,52.92万
宝马X5,M,12万公里,2014-04,天津,27.50,228.71万
Macan,2021款,1.7万公里,2021-04,济南,51.88,57.64万
奥迪A8,2018款,3.77万公里,2019-01,杭州,57.80,99.62万
奔驰S级,2021款,0.45万公里,2022-02,厦门,92.50,97.67万
阿斯顿・马丁DBX,2023款,0.02万公里,未上牌,厦门,447.00,352.56万
奔驰C级(进口),2021款,2.1万公里,2021-01,杭州,33.50,39.82万
宝马2系,2017款,4万公里,2017-10,南京,15.80,34.74万
秦新能源,2015款,9.2万公里,2016-12,西安,3.18,22.77万
自由客,2014款,7.8万公里,2015-05,大连,7.08,26.69万
宝马3系,2019款,6.05万公里,2019-01,深圳,19.58,34.39万
MINI,2019款,6.3万公里,2019-12,深圳,21.38,31.46万
宝马1系(进口),2018款,6.1万公里,2019-11,深圳,13.98,25.16万
V8,Vantage,1.8万公里,2020-04,厦门,168.00,197.34万
高尔夫,2020款,2万公里,2021-01,西安,10.58,16.74万
神行者2,2011款,15.2万公里,2012-02,常州,7.88,61.65万
兰德酷路泽(进口),2015款,9.8万公里,2016-09,长沙,49.80,
宝马X3,2018款,6.3万公里,2019-01,深圳,27.80,46.22万
MINI,COUNTRYMAN,0.76万公里,2022-05,深圳,25.80,31.46万
宝马X3,2020款,3.56万公里,2020-06,深圳,34.98,52.08万
宝马M3,2021款,1万公里,2021-07,深圳,89.80,92.25万
Sprinter,2019款,5.6万公里,2019-02,大连,49.80,
宝马5系,2017款,8.6万公里,2016-12,厦门,23.80,54.23万
汉兰达,2012款,12万公里,2012-06,昆明,8.88,27.01万
奔驰C级,2011款,10.3万公里,2011-05,徐州,6.20,42.12万
Model,S,4.9万公里,2019-01,深圳,32.80,79.35万
揽胜运动版,2020款,1.7万公里,2020-04,北京,83.80,119.73万
奥迪A6L,2019款,7万公里,2019-10,杭州,28.88,44.48万
宝马5系,2021款,4万公里,2021-01,杭州,38.80,50.68万
Boxster,2013款,5.2万公里,2014-06,南京,35.80,78.81万
雷克萨斯LS,2018款,4.2万公里,2018-04,上海,75.80,127.22万
马自达3,昂克赛拉,9万公里,2015-06,南宁,7.98,17.36万
朗动,2016款,10万公里,2016-07,东莞,5.48,13.87万
宝马X1新能源,2018款,7.2万公里,2018-05,广州,15.80,43.07万
保时捷911,2016款,1.12万公里,2019-06,杭州,102.80,129.93万
Macan,2017款,14.7万公里,2017-03,杭州,29.90,70.34万
保时捷718,2018款,2.4万公里,2019-05,杭州,58.80,61.33万
马自达3,昂克赛拉,9万公里,2015-06,南宁,7.98,17.36万
朗动,2016款,10万公里,2016-07,东莞,5.48,13.87万
宝马X1新能源,2018款,7.2万公里,2018-05,广州,15.80,43.07万
保时捷911,2016款,1.12万公里,2019-06,杭州,102.80,129.93万
Macan,2017款,14.7万公里,2017-03,杭州,29.90,70.34万
保时捷718,2018款,2.4万公里,2019-05,杭州,58.80,61.33万
保时捷718,2018款,2.21万公里,2020-09,杭州,58.80,61.33万
Panamera,2021款,5.33万公里,2021-02,杭州,93.80,105.62万
别克GL8,2023款,0.05万公里,2022-11,临沂,34.50,37.33万
Panamera,2019款,1.4万公里,2020-06,杭州,107.80,105.62万
Ghibli,2021款,1.5万公里,2022-01,深圳,65.80,79.15万
凯迪拉克CT5,2022款,0.01万公里,2022-09,郑州,23.99,31.99万
雷克萨斯ES,2020款,3.05万公里,2021-02,郑州,36.99,42.98万
别克GL8,2018款,10万公里,2019-07,合肥,26.18,43.41万
保时捷718,2018款,3.8万公里,2019-01,苏州,55.90,61.33万
保时捷718,2020款,0.57万公里,2021-01,苏州,64.90,59.16万
Macan,2014款,8.6万公里,2015-02,沈阳,30.80,60.57万
奥迪A4L,2018款,8.5万公里,2018-01,北京,20.80,33.32万
Macan,2017款,6.9万公里,2016-05,济南,29.98,59.70万
奔驰C级,2021款,1.7万公里,2021-05,杭州,29.68,38.73万
保时捷718,2020款,0.55万公里,2022-04,苏州,78.43,61.33万
奥迪Q5,2017款,8.2万公里,2017-02,青岛,20.58,46.41万
揽胜极光,2020款,5.6万公里,2020-03,广州,23.50,45.35万
宝马3系,2022款,1.2万公里,2021-11,宁波,32.58,38.96万
宝马5系,2021款,2.2万公里,2020-10,金华,42.28,55.02万
奔驰G级AMG,2007款,13万公里,2007-08,北京,58.60,206.02万
奔驰G级,2004款,6万公里,2007-07,北京,53.60,150.34万
奔驰G级AMG,2007款,14万公里,2007-11,北京,56.00,206.02万
Gallardo,2012款,3万公里,2013-06,北京,106.00,432.89万
奥迪Q5L,2022款,1万公里,2022-04,济南,33.58,45.13万
别克GL8,2022款,0.18万公里,2021-09,郑州,42.58,51.01万
奔驰GLK级,2013款,7.4万公里,2014-01,成都,14.88,52.65万
奥迪A8,2018款,9.4万公里,2019-03,沈阳,55.80,93.00万
奥迪A7,2020款,1.8万公里,2021-02,杭州,53.88,76.50万
奔驰E级,2018款,6万公里,2018-06,广州,,已降1.4万
Panamera,2017款,3万公里,2017-12,成都,93.80,123.53万
宝马5系(进口),2014款,6万公里,2017-03,北京,29.50,53.08万
速腾,2018款,5.9万公里,2018-01,沈阳,8.38,17.35万
奥迪A3,2019款,5万公里,2019-02,沈阳,12.58,23.75万
瑞纳,2017款,2.9万公里,2019-07,沈阳,3.75,5.42万
轩逸,2016款,5万公里,2017-02,沈阳,5.78,12.19万
途安,2011款,7.3万公里,2012-01,沈阳,5.38,19.41万
宋MAX,2017款,4.9万公里,2018-05,沈阳,6.58,11.93万
汉兰达,2017款,4.6万公里,2017-12,深圳,19.28,32.33万
奥迪A4L,2013款,7万公里,2014-05,沈阳,11.28,33.63万
帕萨特,2022款,0.96万公里,2021-09,郑州,16.50,22.35万
奔驰C级,2020款,2.7万公里,2020-05,郑州,26.80,37.64万
马自达CX-4,2021款,2万公里,2021-03,南宁,11.58,17.45万
MINI,CLUBMAN,7万公里,2016-09,北京,19.20,37.88万
高尔夫,2014款,5.9万公里,2014-06,沈阳,7.18,18.01万
Cayenne,2016款,4万公里,2016-02,上海,56.80,96.39万
奔驰C级(进口),2015款,8万公里,2016-11,北京,19.90,45.48万
别克GL8,2020款,5.3万公里,2020-06,佛山,31.68,41.24万
沃尔沃XC40,2021款,0.76万公里,2021-05,上海,21.50,34.60万
奔驰A级(进口),2016款,7万公里,2017-01,金华,10.50,25.40万
传祺M6,2019款,5万公里,2020-01,金华,8.60,16.26万
宝马X1,2016款,6万公里,2017-01,金华,11.50,31.04万
奔驰C级,2020款,4万公里,2020-07,广州,26.78,37.64万
奔驰CLS,2022款,1万公里,2022-06,北京,62.80,69.23万
迈腾,2019款,3万公里,2019-12,石家庄,13.00,20.20万
MINI,2020款,1.9万公里,2020-03,青岛,19.38,25.81万
Ghibli,2014款,5.2万公里,2015-09,沈阳,35.90,97.48万
汉兰达,2015款,7.3万公里,2017-07,西安,19.98,32.00万
天籁,2021款,2.29万公里,2021-09,西安,13.98,20.39万
途昂,2017款,5万公里,2018-04,北京,20.80,40.04万
保时捷718,2018款,2.1万公里,2020-06,苏州,59.80,61.33万
雷克萨斯LX,2019款,2万公里,2020-04,沈阳,158.00,140.13万
奔驰E级,2014款,8万公里,2014-01,北京,14.90,48.09万
奥德赛,2021款,5万公里,2021-03,北京,23.50,29.94万
别克GL8,2020款,3万公里,2020-09,北京,38.00,50.57万
宝马1系,2021款,2.1万公里,2021-01,长沙,13.98,24.62万
宝马3系,2020款,2.4万公里,2020-06,长沙,28.58,35.81万
奥迪A7,2016款,6.86万公里,2016-08,上海,34.88,88.79万
奥迪A4L,2020款,1.9万公里,2021-02,杭州,27.80,39.49万
威尔法,2020款,6.7万公里,2020-05,广州,83.80,94.44万
奔驰GLC,2017款,2.9万公里,2017-11,北京,28.50,52.97万
埃尔法,2021款,0.01万公里,未上牌,广州,98.80,91.07万
Levante,2021款,0.6万公里,2021-08,广州,76.80,97.67万
轩逸,2021款,0.5万公里,2020-12,上海,6.00,12.92万
MINI,2018款,2万公里,2019-05,南京,24.90,34.06万
保时捷718,2020款,1.5万公里,2021-06,北京,61.98,59.16万
奔驰E级,2016款,7万公里,2017-04,成都,,已降4000元
发现,2013款,14万公里,2013-08,成都,,已降6000元
Macan,2020款,5万公里,2019-12,成都,,已降4000元
奔驰E级,2020款,1.7万公里,2020-01,东莞,39.58,50.56万
昂科威,2022款,0.01万公里,2022-10,深圳,16.68,23.65万
兰德酷路泽(进口),2018款,5万公里,2018-03,深圳,92.80,
帕萨特,2020款,2.9万公里,2021-05,东莞,17.38,25.82万
途观L,2020款,1.6万公里,2020-12,东莞,16.98,27.55万
奔驰E级,2022款,0.82万公里,2021-12,唐山,48.20,54.15万
MINI,2014款,7万公里,2015-04,北京,11.80,27.68万
汉兰达,2012款,14.15万公里,2012-12,大同,10.80,32.43万
宝马X5(进口),2020款,2.7万公里,2020-05,深圳,56.90,75.97万
沃尔沃S90,2021款,4.22万公里,2021-06,上海,24.98,44.17万
沃尔沃S90,2021款,4.63万公里,2021-06,上海,24.98,44.17万
奔驰GLA,2019款,2.04万公里,2019-09,北京,16.88,30.70万
荣威e950,2016款,4.6万公里,2019-01,上海,4.99,31.35万
奔驰GLE,2016款,7.9万公里,2016-08,北京,37.80,89.23万
奔驰GLE,2021款,1.74万公里,2021-03,深圳,87.68,96.59万
奔驰A级,2022款,0.86万公里,2022-04,南京,20.58,28.74万
朗逸,2017款,4.1万公里,2018-08,上海,4.38,12.91万
MINI,2016款,7万公里,2017-01,苏州,11.50,22.45万
哈弗H6,2016款,5万公里,2017-03,福州,4.00,11.05万
奥迪A6L,2021款,7.6万公里,2021-08,苏州,33.50,48.17万
奔驰E级,2020款,6万公里,2020-04,苏州,37.50,50.56万
保时捷718,2020款,2.2万公里,2021-01,苏州,83.90,97.15万
保时捷718,2020款,1.4万公里,2021-01,苏州,63.90,59.16万
帕萨特新能源,2022款,0.7万公里,2021-10,长沙,18.58,26.28万
别克GL8,2022款,0.3万公里,2021-12,广州,25.68,31.03万
奔驰C级AMG,2019款,1.9万公里,2020-06,北京,63.80,70.97万
宝马X5(进口),2015款,7万公里,2018-03,长沙,38.80,103.99万
速腾,2018款,5万公里,2018-11,宁波,8.38,18.32万
保时捷911,2022款,1.5万公里,2021-04,广州,168.80,164.12万
奔驰S级,2021款,2.6万公里,2021-05,北京,95.80,114.93万
飞驰,2014款,8.5万公里,2017-05,北京,149.80,347.13万
凯雷德ESCALADE,2017款,12.4万公里,2019-06,北京,79.80,161.52万
SAVANA,2014款,4.8万公里,2016-09,北京,39.80,127.00万
奥迪A7,2021款,1.1万公里,2021-06,武汉,49.80,62.28万
奔驰GLA,2020款,2.2万公里,2021-07,西安,21.58,32.98万
奔驰E级,2019款,5.9万公里,2019-02,西安,44.90,66.95万
威霆,2021款,0.01万公里,2022-11,北京,51.80,37.75万
奔驰CLA,2016款,6.5万公里,2016-01,西安,13.58,28.87万
奔驰V级,2021款,0.01万公里,未上牌,北京,86.80,70.21万
奔驰M级AMG,2007款,19.8万公里,2007-08,北京,15.80,212.54万
迈巴赫GLS,2021款,0.8万公里,2021-03,北京,186.80,198.97万
迈巴赫S级,2021款,3.2万公里,2021-08,北京,149.80,159.35万
悍马H2,2008款,1万公里,2016-12,北京,182.80,
本田CR-V,2019款,3.1万公里,2019-10,武汉,14.90,22.12万
奥迪A6L,2021款,1.6万公里,2021-04,武汉,34.80,45.57万
奔驰C级,2020款,5.9万公里,2020-09,西安,24.50,37.64万
坦克300,2021款,0.03万公里,2022-11,广州,21.80,23.21万
汉兰达,2015款,9.56万公里,2016-12,长沙,19.68,32.00万
smart,forfour,0.7万公里,2019-01,上海,10.98,14.42万
Panamera,2021款,0.5万公里,2022-06,杭州,149.80,130.91万
奔驰C级,2022款,0.6万公里,2021-11,大连,29.98,35.30万
保时捷911,2020款,0.99万公里,2021-08,合肥,141.88,137.31万
奔驰GLC,2021款,5.6万公里,2020-10,深圳,36.68,54.03万
奔驰R级,2011款,10.5万公里,2012-03,深圳,12.68,86.62万
奥迪A6L,2020款,3.6万公里,2020-03,深圳,31.68,44.48万
宝马3系,2021款,2万公里,2021-01,深圳,28.80,37.66万
马自达5,2013款,8.5万公里,2013-11,苏州,6.30,19.19万
科迈罗,2017款,8.5万公里,2017-08,上海,19.80,43.41万
奥迪A6L,2012款,21万公里,2012-10,北京,10.98,48.48万
Panamera,2020款,4.18万公里,2021-01,成都,115.80,126.78万
保时捷911,2020款,0.01万公里,未上牌,成都,172.34,162.71万
奔驰A级,2020款,1.1万公里,2020-01,天津,17.98,28.74万
君威,2022款,0.2万公里,2021-06,福州,17.00,27.12万
君威,2022款,0.2万公里,2022-03,福州,14.50,21.36万
探岳GTE插电混动,2020款,0.18万公里,2021-05,长沙,17.18,27.12万
保时捷718,2022款,1.08万公里,2022-03,深圳,69.80,63.50万
宝马4系,2021款,1.4万公里,2021-01,深圳,38.00,39.49万
奔驰S级,2021款,6.2万公里,2021-03,北京,89.80,114.93万
Cayenne,2015款,7.72万公里,2015-12,上海,,已降5000元
雅科仕,2012款,10.3万公里,2012-01,北京,22.98,110.50万
兰德酷路泽(进口),2016款,6.5万公里,2020-09,沈阳,74.90,
途昂,2020款,4.82万公里,2021-06,成都,22.38,34.72万
奥迪Q5,2015款,13.15万公里,2015-03,成都,13.88,46.85万
保时捷911,2022款,1万公里,2021-10,杭州,169.80,159.89万
保时捷718,2018款,1.4万公里,2020-07,苏州,58.80,61.33万
奥迪A4L,2015款,9万公里,2015-01,深圳,10.88,36.14万
奥迪A6L,2018款,13万公里,2018-05,北京,26.30,54.99万
MINI,2016款,4万公里,2017-01,北京,17.90,30.26万
奥迪A6L,2014款,7万公里,2014-10,北京,16.90,48.48万
Model,3,4万公里,2021-01,北京,20.80,28.95万
奔驰CLS,2007款,14万公里,2006-01,北京,8.80,133.19万
夏朗,2016款,4万公里,2016-08,北京,14.90,33.52万
英菲尼迪FX,2010款,12.8万公里,2010-01,北京,13.80,84.99万
捷豹F-TYPE,2013款,1万公里,2014-07,北京,42.80,111.59万
奥迪S3,2015款,9万公里,2015-07,北京,18.80,43.40万
帕杰罗・劲畅,2013款,9万公里,2014-04,北京,9.50,33.52万
奔驰GLC,2019款,5万公里,2019-03,杭州,27.88,42.42万
奔驰GLC,2020款,2.39万公里,2020-01,杭州,32.80,42.64万
奔驰E级,2023款,0.15万公里,2022-09,杭州,47.88,54.72万
帕萨特新能源,2022款,2.5万公里,2021-06,合肥,16.98,26.28万
Levante,2018款,2.4万公里,2018-03,北京,61.60,115.15万
奔驰A级,2020款,5.9万公里,2020-06,沈阳,17.38,28.74万
奔驰S级,2020款,4万公里,2020-10,沈阳,79.98,103.10万
奇骏,2017款,4.39万公里,2019-03,成都,14.26,26.03万
艾力绅,2016款,3.6万公里,2017-09,成都,19.68,33.63万
奇骏,2020款,2万公里,2021-02,成都,14.57,21.63万
凯迪拉克XT6,2022款,0.03万公里,2022-11,深圳,33.78,45.88万
途观X,2021款,0.9万公里,2021-06,北京,21.20,33.20万
凯美瑞,2016款,15万公里,2017-09,西安,9.38,21.25万
保时捷718,2018款,1.6万公里,2020-11,杭州,59.80,61.33万
保时捷718,2020款,1.5万公里,2021-11,杭州,66.80,61.33万
别克GL8,2022款,0.23万公里,2021-11,福州,23.00,29.30万
Cayenne新能源,2019款,4.1万公里,2019-03,上海,72.80,100.19万
宝马3系GT,2019款,2.86万公里,2019-11,上海,23.90,42.31万
凯迪拉克XT5,2020款,3.4万公里,2020-06,青岛,22.80,37.96万
沃尔沃S90,2022款,2.97万公里,2021-06,上海,25.18,44.17万
沃尔沃S90,2021款,5.1万公里,2021-06,上海,27.07,48.40万
马自达6,2012款,7.9万公里,2012-04,北京,3.86,19.52万
昂科威,2020款,0.31万公里,2021-10,福州,18.80,23.87万
别克GL8,2020款,7万公里,2020-10,上海,32.80,50.57万
奥迪Q7,2019款,5.8万公里,2019-04,东莞,37.80,78.02万
保时捷911,2019款,1.5万公里,2021-03,东莞,139.60,158.48万
奔驰CLS,2018款,10.3万公里,2018-09,东莞,41.80,85.73万
宝马5系,2018款,10.3万公里,2018-06,东莞,31.30,56.98万
迈腾GTE插电混动,2020款,0.28万公里,2022-05,长沙,17.28,27.56万
保时捷911,2020款,1.6万公里,2020-07,上海,136.00,137.31万
宝马5系(进口),2022款,0.01万公里,未上牌,北京,38.58,46.66万
传祺M8,2023款,0.03万公里,2022-11,深圳,21.78,25.27万
奔驰GLC,2017款,12万公里,2017-06,石家庄,24.30,46.57万
奔驰E级,2019款,6万公里,2018-10,石家庄,28.50,46.22万
奔驰S级,2018款,12万公里,2018-02,石家庄,56.50,95.17万
Panamera,2010款,14万公里,2012-08,石家庄,31.50,125.15万
英菲尼迪Q50L,2016款,6万公里,2018-02,石家庄,14.80,30.37万
途观L,2022款,0.18万公里,2022-07,石家庄,18.50,26.46万
辉昂,2019款,14万公里,2019-07,石家庄,17.80,36.91万
MINI,COUNTRYMAN,10万公里,2012-02,石家庄,8.80,40.81万
艾力绅,2019款,8万公里,2019-09,石家庄,23.50,33.63万
奔驰G级AMG,2022款,0.01万公里,未上牌,上海,278.80,276.47万
君越,2021款,0.09万公里,2021-06,福州,23.00,26.03万
Mustang,2019款,3.5万公里,2021-01,北京,21.58,40.14万
Model,Y,1.11万公里,2022-01,北京,34.88,45.36万
凯美瑞,2021款,0.02万公里,2022-10,深圳,21.68,26.03万
宝马5系,2019款,6.2万公里,2019-12,佛山,34.88,50.36万
探岳X,2020款,0.8万公里,2020-07,长沙,21.58,32.11万
保时捷718,2018款,5.1万公里,2018-03,苏州,49.90,61.33万
Macan,2017款,6.8万公里,2016-08,大连,29.50,59.70万
雷克萨斯ES,2020款,2.86万公里,2021-04,郑州,27.80,31.48万
凯美瑞,2019款,6万公里,2019-12,广州,14.98,22.34万
宝马3系,2021款,1.6万公里,2021-01,郑州,31.80,39.72万
揽胜运动版,2021款,2.8万公里,2021-04,郑州,82.80,109.42万
迈腾GTE插电混动,2022款,0.02万公里,2022-08,郑州,18.50,25.82万
MINI,2016款,5.6万公里,2016-08,青岛,10.58,21.58万
奔驰GLC,2020款,5.66万公里,2019-11,成都,34.58,48.61万
宝马X1,2021款,2.3万公里,2021-03,北京,20.98,33.63万
埃尔法,2019款,8.19万公里,2019-11,沈阳,91.90,92.92万
英菲尼迪Q70,2015款,6.1万公里,2015-07,青岛,15.88,52.08万
轩逸,2018款,4.3万公里,2018-05,上海,4.58,14.96万
奔驰GLC,2019款,7.3万公里,2019-05,长沙,27.58,51.97万
奔驰S级,2019款,3.65万公里,2019-01,南京,74.58,100.60万
宝马X3,2019款,2.86万公里,2020-12,南京,29.98,46.22万
宝马7系,2017款,6.37万公里,2017-03,南京,68.88,215.79万
奔驰E级,2020款,6.9万公里,2020-05,合肥,38.58,50.56万
帕萨特,2016款,17万公里,2016-03,石家庄,8.98,24.20万
威朗,2022款,0.45万公里,2021-09,潍坊,11.08,17.25万
凯迪拉克XT4,2018款,4万公里,2019-01,西安,16.38,28.19万
凯迪拉克ATS-L,2017款,5万公里,2019-03,西安,14.98,29.72万
帕萨特,2022款,0.55万公里,2021-09,长沙,18.98,25.39万
思域,2014款,8万公里,2015-03,武汉,5.80,15.17万
埃尔法,2015款,8万公里,2018-05,深圳,79.80,88.36万
揽胜运动版,2021款,3万公里,2021-01,深圳,82.80,109.42万
宝马7系,2013款,18万公里,2014-05,深圳,25.80,132.81万
奥迪A6L,2021款,6万公里,2021-04,长沙,33.20,45.57万
奥迪Q7,2016款,5.5万公里,2016-11,沈阳,,已降1万
奥迪A6L,2021款,2.6万公里,2021-07,无锡,34.80,45.57万
奥迪A8,2022款,0.2万公里,2022-03,上海,88.88,118.84万
途观L,2017款,7.8万公里,2017-09,西安,12.98,30.05万
MINI,CLUBMAN,2.1万公里,2020-11,广州,27.80,35.36万
奔驰GLE,2020款,3.5万公里,2020-09,厦门,66.80,79.00万
帕萨特新能源,2020款,0.7万公里,2020-06,长沙,16.98,27.56万
Panamera,2017款,3.4万公里,2019-03,成都,100.00,126.78万
马自达CX-30,2020款,2.5万公里,2020-08,东莞,10.39,15.62万
型格,2022款,0.3万公里,2022-03,东莞,14.58,16.60万
逍客,2019款,3.6万公里,2020-06,东莞,10.58,16.81万
揽境,2021款,0.3万公里,2021-07,长沙,27.58,37.22万
沃尔沃V60,2015款,9.82万公里,2015-03,上海,9.45,36.35万
魏牌,VV7,4万公里,2019-10,东莞,10.28,19.30万
宝马X3,M,2.2万公里,2021-05,宁波,63.00,97.25万
科鲁兹,2012款,7万公里,2012-05,衢州,1.80,12.36万
宏光MINIEV,2021款,0.9万公里,2021-12,衢州,3.98,5.28万
天籁,2013款,8万公里,2013-08,沈阳,6.60,22.34万
奥迪Q5,2010款,11.8万公里,2010-03,沈阳,6.98,41.23万
雷克萨斯NX,2018款,3.7万公里,2019-08,沈阳,19.80,36.36万
胜达(进口),2013款,9万公里,2013-09,沈阳,6.50,33.17万
途乐,2014款,6.5万公里,2014-11,沈阳,31.50,130.04万
奥迪A3,2021款,0.9万公里,2021-03,金华,16.98,24.94万
奥迪A4L,2019款,2.2万公里,2019-07,上海,,已降2.2万
奥迪A6L,2012款,11万公里,2012-09,沈阳,12.80,46.98万
奔驰E级(进口),2016款,5万公里,2016-07,宁波,18.80,57.53万
英菲尼迪QX60(进口),2014款,8万公里,2015-12,沈阳,16.80,67.08万
凯迪拉克XTS,2018款,6万公里,2018-05,沈阳,15.38,32.55万
帕萨特,2017款,6.2万公里,2017-08,沈阳,11.60,24.20万
Cayenne,2011款,12万公里,2011-04,深圳,26.98,167.38万
宝马3系,2020款,6.7万公里,2020-05,沈阳,27.98,39.50万
奥迪A6L,2019款,11.2万公里,2019-08,济南,30.20,47.09万
奥迪A4L,2020款,1.5万公里,2021-11,济南,24.50,34.60万
奥迪A8,2021款,0.01万公里,2022-09,济南,100.00,130.13万
奥迪A8,2022款,0.01万公里,2022-09,济南,72.50,93.22万
奥迪A8,2021款,3.98万公里,2021-01,济南,62.64,91.48万
Panamera,2014款,12万公里,2014-02,深圳,42.80,124.29万
保时捷718,2018款,2.2万公里,2019-01,无锡,54.98,61.33万
奔驰A级AMG(进口),2017款,6.5万公里,2018-04,无锡,26.98,49.26万
奥迪A6L,2021款,4.3万公里,2020-11,无锡,33.88,48.17万
宝马X5(进口),2014款,8万公里,2014-12,深圳,29.50,90.96万
汉,2020款,1.8万公里,2021-01,深圳,17.80,26.36万
高尔夫,2018款,5.9万公里,2018-09,沈阳,9.18,16.81万
奥迪A4L,2017款,7.15万公里,2017-08,北京,19.20,44.37万
荣威iMAX8,2021款,3.56万公里,2021-06,北京,18.90,24.29万
MINI,2019款,2.5万公里,2019-05,沈阳,17.98,26.68万
甲壳虫,2016款,4.3万公里,2016-11,沈阳,11.80,24.08万
宝马7系,2013款,11万公里,2014-11,沈阳,24.60,132.81万
奥迪A5,2021款,1.5万公里,2021-02,北京,39.50,52.08万
昂科威,2021款,0.27万公里,2021-10,福州,21.50,32.12万
