money,kind,usingTime,mile
low,vhigh,med,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
high,vhigh,small,low
vhigh,vhigh,small,low
med,vhigh,small,med
vhigh,vhigh,small,low
vhigh,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
med,vhigh,big,med
low,vhigh,big,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,med,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,big,low
low,vhigh,small,low
low,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,med,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,small,med
med,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,med
med,vhigh,med,med
low,vhigh,small,low
med,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,med,low
med,vhigh,med,med
low,vhigh,small,low
med,vhigh,small,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
vhigh,vhigh,small,med
low,vhigh,big,med
vhigh,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
med,vhigh,med,med
med,vhigh,small,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
med,vhigh,med,low
high,vhigh,small,low
vhigh,vhigh,small,low
med,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,med,low
vhigh,vhigh,small,low
med,vhigh,big,low
med,vhigh,med,low
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,big,low
high,vhigh,med,med
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,med,low
high,vhigh,small,low
low,vhigh,small,low
med,vhigh,big,med
low,vhigh,med,low
low,vhigh,small,low
vhigh,vhigh,small,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
high,vhigh,small,med
high,vhigh,med,med
med,vhigh,med,low
high,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
med,vhigh,small,low
high,vhigh,small,low
high,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
high,vhigh,small,low
high,vhigh,med,low
med,vhigh,med,med
high,vhigh,small,low
high,vhigh,small,low
high,vhigh,small,med
low,vhigh,small,low
high,vhigh,small,low
med,vhigh,big,med
low,vhigh,big,low
low,vhigh,big,low
med,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,low
low,vhigh,small,low
low,vhigh,big,low
high,vhigh,med,low
low,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
med,vhigh,small,med
med,vhigh,med,low
med,vhigh,med,med
vhigh,vhigh,small,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
high,vhigh,small,low
med,vhigh,med,low
high,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,med,med
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,med,low
high,vhigh,med,low
low,vhigh,big,med
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,med
low,vhigh,small,low
high,vhigh,big,med
med,vhigh,med,low
low,vhigh,small,low
low,vhigh,big,low
med,vhigh,small,low
high,vhigh,small,low
low,vhigh,small,low
high,vhigh,small,low
high,vhigh,med,med
low,vhigh,small,low
med,vhigh,med,low
high,vhigh,med,low
med,vhigh,big,med
med,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
med,vhigh,big,low
high,vhigh,med,med
med,vhigh,med,med
high,vhigh,small,low
low,vhigh,small,low
med,vhigh,med,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
med,vhigh,big,med
high,vhigh,med,low
med,vhigh,big,med
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
high,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,med,low
high,vhigh,med,med
low,vhigh,med,low
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,med,med
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,big,med
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,med,med
low,vhigh,med,low
high,vhigh,small,low
low,vhigh,med,low
med,vhigh,small,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,med,low
low,vhigh,big,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,big,med
high,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,med
low,vhigh,med,low
high,vhigh,med,med
med,vhigh,small,low
med,vhigh,small,low
vhigh,vhigh,med,low
high,vhigh,small,low
low,vhigh,small,low
low,vhigh,big,med
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
low,vhigh,big,med
low,vhigh,small,low
low,vhigh,med,med
med,vhigh,small,low
low,vhigh,small,low
med,vhigh,med,med
vhigh,vhigh,big,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,big,med
low,vhigh,small,low
med,vhigh,big,med
low,vhigh,small,low
med,vhigh,small,low
vhigh,vhigh,small,low
med,vhigh,big,med
med,vhigh,small,low
high,vhigh,small,low
high,vhigh,big,med
high,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
med,vhigh,med,med
low,vhigh,med,med
med,vhigh,small,med
med,vhigh,small,med
low,vhigh,small,low
high,vhigh,big,med
low,vhigh,small,low
high,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,med
high,vhigh,small,med
high,vhigh,med,med
low,vhigh,big,med
med,vhigh,med,low
low,vhigh,small,low
med,vhigh,big,med
low,vhigh,small,low
low,vhigh,big,low
low,vhigh,small,low
med,vhigh,small,low
low,vhigh,med,low
high,vhigh,small,low
vhigh,vhigh,med,med
low,vhigh,small,low
low,vhigh,big,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
vhigh,vhigh,med,low
med,vhigh,med,low
vhigh,vhigh,big,med
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
high,vhigh,med,med
high,vhigh,small,low
med,low,small,low
high,low,small,low
low,low,small,low
high,low,small,med
med,low,small,med
vhigh,low,small,low
med,low,small,low
vhigh,low,small,med
high,low,small,low
high,low,med,med
high,low,small,low
med,low,big,med
low,low,small,low
high,low,med,med
low,low,small,low
vhigh,low,small,low
med,low,med,low
high,low,med,med
high,low,small,low
low,low,small,low
low,low,small,low
vhigh,low,small,low
low,low,small,low
med,low,small,low
med,low,big,low
low,low,small,low
high,low,med,med
vhigh,low,small,low
high,low,small,low
high,low,small,med
low,low,big,med
low,low,small,low
low,low,small,low
high,low,small,med
low,low,small,low
vhigh,low,small,low
high,low,small,low
low,low,med,med
high,low,small,low
low,low,small,low
med,low,small,med
vhigh,low,small,low
low,low,small,med
low,low,small,low
vhigh,low,small,med
low,low,small,low
vhigh,low,small,med
med,low,small,low
high,low,med,med
low,low,small,low
high,low,small,low
med,low,big,low
med,low,med,med
vhigh,low,small,low
low,low,small,low
vhigh,low,small,med
low,low,small,med
med,low,med,med
high,low,small,low
low,low,small,low
vhigh,low,small,med
low,low,small,low
low,low,small,low
low,low,small,low
med,low,small,low
med,low,big,low
high,low,small,low
low,low,small,med
low,low,small,low
low,low,small,low
vhigh,low,small,med
high,low,med,med
high,low,small,med
low,low,small,low
med,low,med,med
low,low,med,low
low,low,small,med
high,low,small,low
low,low,small,low
low,low,med,med
med,low,small,med
vhigh,low,small,low
med,low,small,low
low,low,small,med
low,low,med,med
med,low,small,low
low,low,med,high
vhigh,low,small,med
low,low,med,med
low,low,small,low
med,low,big,low
med,low,big,med
med,low,big,low
low,low,med,low
low,low,med,low
high,low,small,low
med,low,med,med
low,low,small,low
high,low,small,low
high,low,med,med
med,low,med,med
low,low,med,med
med,low,med,med
med,low,med,med
high,low,small,low
med,low,med,med
high,low,small,med
high,low,med,low
low,low,small,low
vhigh,low,small,med
low,low,med,high
low,low,small,low
med,low,med,low
low,low,small,low
med,low,big,high
med,low,med,med
low,low,small,low
high,low,small,med
med,low,big,high
low,low,small,low
med,low,small,low
low,low,med,low
high,low,small,low
vhigh,low,small,med
high,low,small,low
vhigh,low,small,low
high,low,small,med
high,low,small,low
med,low,med,med
high,low,small,med
med,low,small,low
low,low,small,low
med,low,small,low
med,low,big,med
vhigh,low,small,med
med,low,small,low
vhigh,low,small,med
med,low,big,med
high,low,small,low
low,low,small,med
high,low,small,med
low,low,small,low
med,low,big,med
vhigh,low,small,low
low,low,med,med
med,low,small,low
med,low,big,med
high,low,small,med
high,low,small,med
med,low,small,med
high,low,med,med
vhigh,low,small,med
low,low,small,med
med,low,small,low
high,low,small,low
low,low,med,med
high,low,small,low
med,low,small,med
med,low,med,med
high,low,small,low
med,low,med,low
med,low,med,med
high,low,small,med
low,low,small,low
high,low,small,med
low,low,med,high
low,low,small,low
med,low,small,low
low,low,small,low
med,low,small,low
med,low,small,low
high,low,small,med
vhigh,low,small,low
low,low,med,med
med,low,small,low
high,low,small,med
high,low,small,med
low,low,small,med
low,low,med,med
med,low,small,low
med,low,big,low
med,low,small,med
med,low,med,med
low,low,small,low
vhigh,low,small,med
med,low,med,med
low,low,med,med
med,low,med,med
med,low,small,med
low,low,small,low
low,low,big,med
vhigh,low,small,med
high,low,small,med
med,low,med,low
high,low,med,med
med,low,small,low
low,low,big,med
low,low,small,low
low,low,small,low
med,low,small,low
low,low,small,low
med,low,med,med
vhigh,low,small,low
med,low,small,low
med,low,small,low
low,low,small,low
med,low,small,low
low,low,med,med
high,low,small,low
low,low,small,low
low,low,big,high
med,low,med,high
vhigh,low,small,med
high,low,small,low
vhigh,low,small,low
high,low,small,med
low,low,med,med
high,low,small,low
low,low,small,med
med,low,small,low
high,low,small,med
low,low,small,med
med,low,med,med
med,low,med,med
med,low,small,med
vhigh,low,small,low
med,low,small,low
high,low,small,med
low,low,small,low
high,low,small,med
med,low,small,med
med,low,small,low
med,low,small,med
med,low,small,low
low,low,med,med
low,low,med,med
med,low,small,low
med,low,med,med
low,low,med,med
high,low,small,low
med,low,small,low
low,low,med,high
med,low,med,low
med,low,small,low
low,low,big,med
med,low,small,low
low,low,small,low
high,low,small,low
med,low,small,low
low,low,small,low
high,low,small,med
med,low,big,med
high,low,small,med
med,low,big,med
low,low,small,low
med,low,small,low
high,low,small,med
med,low,big,med
med,low,med,low
low,low,small,low
low,low,small,med
med,low,med,med
med,low,big,high
low,low,small,low
med,low,small,low
med,low,small,low
high,low,med,med
high,low,med,med
vhigh,low,small,low
med,low,small,low
high,low,small,low
high,low,small,low
low,low,small,low
med,low,small,med
low,low,small,med
low,low,small,low
med,low,big,med
high,low,small,low
low,low,med,low
high,low,big,med
med,low,big,high
low,low,small,med
med,low,big,med
high,low,med,med
med,low,med,med
high,low,small,low
high,low,med,low
vhigh,low,small,low
med,low,small,low
low,low,small,low
vhigh,low,small,med
med,low,med,med
low,low,small,med
high,low,med,med
high,low,med,med
high,low,small,low
med,low,small,low
high,low,med,med
med,low,med,low
med,low,med,low
med,low,big,med
low,low,small,low
med,low,med,med
high,low,small,low
high,low,small,low
high,low,med,low
med,low,med,med
med,low,med,med
high,low,small,med
med,low,med,med
med,low,small,med
high,low,small,med
vhigh,low,small,low
low,low,small,low
low,low,small,low
med,low,small,low
med,low,small,low
med,low,small,low
high,low,small,low
high,low,small,low
med,low,small,low
high,low,med,med
high,low,small,med
med,low,small,med
low,low,small,low
high,low,small,med
high,low,small,med
low,low,small,low
med,low,small,low
med,low,small,low
low,low,small,med
high,low,small,low
high,low,small,low
low,low,small,low
low,low,med,high
high,low,small,med
med,low,big,med
low,low,small,med
med,low,med,med
med,low,small,low
low,low,small,low
low,low,small,low
low,low,small,low
med,low,big,med
vhigh,low,small,med
vhigh,low,small,med
high,low,small,med
high,low,small,med
vhigh,low,small,low
high,low,small,med
high,low,med,low
high,low,small,med
high,low,small,med
vhigh,low,small,low
low,low,small,low
med,low,small,med
vhigh,low,small,med
high,low,small,low
vhigh,low,small,med
vhigh,low,small,med
med,low,med,low
high,low,small,low
low,low,small,low
high,low,small,low
med,low,small,low
vhigh,low,small,low
vhigh,low,small,low
vhigh,low,small,med
low,low,small,low
med,low,small,med
med,low,small,med
med,low,small,low
high,low,small,low
low,low,small,low
vhigh,low,small,med
high,low,small,low
low,low,small,low
